id,text,timestamp
1,"The product works fine, but the packaging was bad.",2024-12-13 10:00:00
2,I had an amazing experience with the service team.,2024-12-13 10:30:00
3,I would have liked more customization options.,2024-12-13 11:00:00
4,I didn't receive all the features promised.,2024-12-13 11:30:00
5,"Fantastic app, I use it every day.",2024-12-13 12:00:00
6,I had a great shopping experience.,2024-12-13 12:30:00
7,Customer support was helpful but slow.,2024-12-13 13:00:00
8,I had a great shopping experience.,2024-12-13 13:30:00
9,Very satisfied with my purchase.,2024-12-13 14:00:00
10,"Fantastic quality, exceeded my expectations!",2024-12-13 14:30:00
11,Very satisfied with my purchase.,2024-12-13 15:00:00
12,The customer service was terrible.,2024-12-13 15:30:00
13,I had no problems at all with this product.,2024-12-13 16:00:00
14,"It works fine, but I expected more features.",2024-12-13 16:30:00
15,I had a great shopping experience.,2024-12-13 17:00:00
16,The product did not meet my expectations.,2024-12-13 17:30:00
17,"Wouldn't recommend, not worth the price.",2024-12-13 18:00:00
18,The customer service was amazing.,2024-12-13 18:30:00
19,"It works fine, but I expected more features.",2024-12-13 19:00:00
20,The customer service was terrible.,2024-12-13 19:30:00
21,"Horrible, never buying from here again.",2024-12-13 20:00:00
22,Customer support was helpful but slow.,2024-12-13 20:30:00
23,"Fantastic quality, exceeded my expectations!",2024-12-13 21:00:00
24,"I am satisfied with my purchase, but it could be better.",2024-12-13 21:30:00
25,This is the best product I've ever used!,2024-12-13 22:00:00
26,Awesome! Exactly what I needed.,2024-12-13 22:30:00
27,I feel like I wasted my money on this.,2024-12-13 23:00:00
28,I had no problems at all with this product.,2024-12-13 23:30:00
29,The product is exactly what I wanted.,2024-12-14 00:00:00
30,Awesome! Exactly what I needed.,2024-12-14 00:30:00
31,"Fantastic app, I use it every day.",2024-12-14 01:00:00
32,"The quality is excellent, but it's a bit expensive.",2024-12-14 01:30:00
33,Customer support was helpful but slow.,2024-12-14 02:00:00
34,I love the new features of this product!,2024-12-14 02:30:00
35,I had a great shopping experience.,2024-12-14 03:00:00
36,Not satisfied with the quality of the product.,2024-12-14 03:30:00
37,"Good product, but delivery was delayed.",2024-12-14 04:00:00
38,I would have liked more customization options.,2024-12-14 04:30:00
39,"The design could be better, but it's functional.",2024-12-14 05:00:00
40,Not happy with the customer support.,2024-12-14 05:30:00
41,I don't like the new design of the product.,2024-12-14 06:00:00
42,"The product was okay, but I was expecting more.",2024-12-14 06:30:00
43,"It was a good purchase, but there were a few issues.",2024-12-14 07:00:00
44,I feel like I wasted my money on this.,2024-12-14 07:30:00
45,Very satisfied with my purchase.,2024-12-14 08:00:00
46,I don't like the new design of the product.,2024-12-14 08:30:00
47,"The design could be better, but it's functional.",2024-12-14 09:00:00
48,I was expecting better features for the price.,2024-12-14 09:30:00
49,"It works fine, but I expected more features.",2024-12-14 10:00:00
50,"Good product, but delivery was delayed.",2024-12-14 10:30:00
